1nf,1,C9
8.2nf,1,C15
10nf,1,C14
47nf,3,C6 C8 C12
82nf,1,C16
0.1uf,12,C2 C3 C4 C5 C17 C18 C19 C21 C22 C23 C24 C25
4.7uf,1,Cp4
22uf,4,Cp2 Cp3 Cp5 Cp6
47uf,1,Cp1
FILTER,3,FB4 FB5 FB6
DE-15,2,J1 J2
VHDCI,1,J3
CONN_1,2,P5 P6
CONN_6,1,P7
75,3,R2 R4 R6
1K,3,R7 R11 R12
1.5K,1,R8
2.2K,6,R1 R3 R5 R15 R16 R23
4.7K,4,R24 R25 R26 R27
10K,2,R9 R10
76.8K,2,R13 R17
147K,1,R18
R147K,1,R14
TESTPOINT,13,TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 TP11 TP12 TP13
TCA9617A,2,U6 U7
ADP3303-3V3,1,U1
ADP3334,2,U2 U4
AD9984,1,U3
24AA014,1,U5
